Stock Price,OPEN PRICE,HIGH ,LOW,RANK,PE_RATIO,EPS,MCAP,SECTOR MCAP RANK,PB RATIO,Div Yield percentage,FACE VALUE,BETA,VWAP,52 Week High/Low,Overall Recommendation,Strong Buy,Buy,Hold,Sell,Strong_sell,Date,Time
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:18:20
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:19:23
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:20:40
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:21:41
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:22:23
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:29:00
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:29:10
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:29:21
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:29:32
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:29:43
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:29:54
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:30:04
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:30:15
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:30:26
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:30:37
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:39:20
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:39:31
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:39:41
"6,619.20",7736.00,6569.15,10.1%,66,29.68,223.04,"4,09,081",2,7.52,0.45,2.00,2.30,"6,621.07","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-18,17:39:55
